Ref,Producto,Marca,Categoria,Proveedor,Canales
CA97 KO,KONG GATO PELOTA BUBBLE,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CAT49 KO,KONG GATO BARA PECES CON LASER,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CAT52 KO,KONG GATO KONG GATO JUGUETE BARA CURLZ,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CCS KO,KONG GATO CATNIP NATURALS SPRAY,KONG,CATNIP,ICONO PET,"C1,C4"
CFL4 KO,KONG GATO JUGUETEFLINGAROO CATERPILLAR - ORUGA,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CFL6 KO,KONG GATO JUGUETE FLINGAROO FROG - SAPO,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CK2 KO,KONG PERRO CAUCHO AQUA MD,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
CN2 KO,KONG GATO CATNIP NATURALS 2 OZ,KONG,CATNIP,ICONO PET,"C1,C4"
CN21 KO,KONG GATO CATNIP NATURALS 1 OZ,KONG,CATNIP,ICONO PET,"C1,C4"
CNF4 KO,KONG GATO PELOTA CONFETTI - SURTIDO,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CPP6 KO,KONG GATO JUGUETE PULL A PART PURRITO,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CRCL46 KO,KONG GATO JUGUETE CRACKLES GATO UNICORNIO,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CS1 KO,KONG GATO RASCADOR NATURALS SENCILLO,KONG,RASCADORES Y GIMNASIOS,ICONO PET,"C1,C4"
CT51 KO,KONG GATO RASCADOR CONNECTS KITTY COMBER,KONG,RASCADORES Y GIMNASIOS,ICONO PET,"C1,C4"
CT56 KO,KONG GATO JUGUETE CONNECTS  PEACOCK,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CT57 KO,KONG GATO JUGUETE CONNECTS BOXEO VENTANA,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CT58 KO,KONG GATO JUGUETE CONNECTS BOXEO SACO,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CT63 KO,KONG GATO PELUCHE TROPICS PAJARO,KONG,JUGUETES GATO,ICONO PET,"C1,C4"
CZG KO,KONG GATO ZOOM GROOM CEPILLO,KONG,GROOMING,ICONO PET,"C1,C2,C4"
DK2 KO,KONG PERRO CAUCHO CLASSIC DENTAL CON LAZO MEDIUM,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
EB12 KO,KONG PERRO CAUCHO EXTREME PELOTA CON LAZO LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
EGS1 KO,KONG PERRO CAUCHO EXTREME RIBBON LARGE,KONG,JUGUETES PERRO,ICONO PET,"C1,C4"
EL1 KO,KONG COLLAR DE RECUPERACION INFLABLE CLOUD LARGE,KONG,COLLARES RECUPERACION,ICONO PET,"C1,C3"
EL2 KO,KONG COLLAR DE RECUPERACION INFLABLE CLOUD MEDIUM,KONG,COLLARES RECUPERACION,ICONO PET,"C1,C3"
EL3 KO,KONG COLLAR DE RECUPERACION INFLABLE CLOUD SMALL,KONG,COLLARES RECUPERACION,ICONO PET,"C1,C3"
EL5 KO,KONG COLLAR DE RECUPERACION INFLABLE CLOUD X-SMALL,KONG,COLLARES RECUPERACION,ICONO PET,"C1,C3"
FRUT101 DI,DISUGUAL DOG FRUIT - CORDERO Y PERA LATA POR 150 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
FRUT102 DI,DISUGUAL DOG FRUIT - PATO Y KIWI LATA POR 150 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
FRUT105 DI,DISUGUAL DOG FRUIT - POLLO Y PIÑA LATA POR 150 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
FRUT106 DI,DISUGUAL DOG FRUIT - SALMON Y ARANDANOS LATA POR 150 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
FRUT401 DI,DISUGUAL DOG FRUIT - CORDERO Y PERA LATA POR 400 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
FRUT402 DI,DISUGUAL DOG FRUIT - PATO Y KIWI LATA POR 400 GR,DISUGUAL,ALIMENTOS HUMEDOS,ICONO PET,"C1,C4"
